********************************************************************************
product = Open Liberty 22.0.0.11 (wlp-1.0.70.cl221120221010-1540)
wlp.install.dir = /Users/janstopinski/projects/jakartaEE/LabJakartaEE/target/liberty/wlp/
java.home = /Users/janstopinski/Library/Java/JavaVirtualMachines/corretto-17.0.4.1/Contents/Home
java.version = 17.0.4.1
java.runtime = OpenJDK Runtime Environment (17.0.4.1+9-LTS)
os = Mac OS X (13.0.1; x86_64) (en_PL)
process = 2586@Jans-MacBook-Pro.local
Classpath = /Users/janstopinski/projects/jakartaEE/LabJakartaEE/target/liberty/wlp/bin/tools/ws-server.jar
Java Library path = /Users/janstopinski/Library/Java/Extensions:/Library/Java/Extensions:/Network/Library/Java/Extensions:/System/Library/Java/Extensions:/usr/lib/java:.
********************************************************************************
[11/14/22, 1:47:40:983 CET] 00000001 com.ibm.ws.kernel.launch.internal.FrameworkManager           A CWWKE0001I: The server defaultServer has been launched.
[11/14/22, 1:47:42:421 CET] 00000001 com.ibm.ws.kernel.launch.internal.FrameworkManager           I CWWKE0002I: The kernel started after 2.016 seconds
[11/14/22, 1:47:42:436 CET] 00000027 com.ibm.ws.kernel.feature.internal.FeatureManager            I CWWKF0007I: Feature update started.
[11/14/22, 1:47:42:637 CET] 0000001b com.ibm.ws.app.manager.internal.monitor.DropinMonitor        A CWWKZ0058I: Monitoring dropins for applications.
[11/14/22, 1:47:43:334 CET] 00000031 com.ibm.ws.app.manager.AppMessageHelper                      I CWWKZ0018I: Starting application LabJakartaEE-1.0-SNAPSHOT.
[11/14/22, 1:47:43:335 CET] 00000031 bm.ws.app.manager.war.internal.WARDeployedAppInfoFactoryImpl I CWWKZ0134I: The LabJakartaEE-1.0-SNAPSHOT application is using the loose application definition at the /Users/janstopinski/projects/jakartaEE/LabJakartaEE/target/liberty/wlp/usr/servers/defaultServer/dropins/LabJakartaEE-1.0-SNAPSHOT.war.xml location.
[11/14/22, 1:47:43:809 CET] 00000031 com.ibm.ws.session.WASSessionCore                            I SESN8501I: The session manager did not find a persistent storage location; HttpSession objects will be stored in the local application server's memory.
[11/14/22, 1:47:43:850 CET] 00000031 org.jboss.weld.Version                                       I WELD-000900: 3.1.9 (Final)
[11/14/22, 1:47:44:686 CET] 00000031 org.jboss.weld.Event                                         I WELD-000411: Observer method [BackedAnnotatedMethod] org.apache.myfaces.config.annotation.CdiAnnotationProviderExtension.processAnnotatedType(@Observes ProcessAnnotatedType<T>) receives events for all annotated types. Consider restricting events using @WithAnnotations or a generic type with bounds.
[11/14/22, 1:47:44:696 CET] 00000031 org.jboss.weld.Event                                         I WELD-000411: Observer method [BackedAnnotatedMethod] org.apache.myfaces.cdi.JsfArtifactProducerExtension.processAnnotatedType(@Observes ProcessAnnotatedType<T>, BeanManager) receives events for all annotated types. Consider restricting events using @WithAnnotations or a generic type with bounds.
[11/14/22, 1:47:45:119 CET] 00000031 com.ibm.ws.webcontainer.osgi.webapp.WebGroup                 I SRVE0169I: Loading Web Module: LabJakartaEE-1.0-SNAPSHOT.
