********************************************************************************
product = Open Liberty 22.0.0.11 (wlp-1.0.70.cl221120221010-1540)
wlp.install.dir = /Users/janstopinski/projects/jakartaEE/LabJakartaEE/target/liberty/wlp/
java.home = /Users/janstopinski/Library/Java/JavaVirtualMachines/corretto-17.0.4.1/Contents/Home
java.version = 17.0.4.1
java.runtime = OpenJDK Runtime Environment (17.0.4.1+9-LTS)
os = Mac OS X (12.1; x86_64) (en_PL)
process = 84510@Jans-MacBook-Pro.local
Classpath = /Users/janstopinski/projects/jakartaEE/LabJakartaEE/target/liberty/wlp/bin/tools/ws-server.jar
Java Library path = /Users/janstopinski/Library/Java/Extensions:/Library/Java/Extensions:/Network/Library/Java/Extensions:/System/Library/Java/Extensions:/usr/lib/java:.
********************************************************************************
[11/8/22, 16:44:54:533 CET] 00000001 com.ibm.ws.kernel.launch.internal.FrameworkManager           A CWWKE0001I: The server defaultServer has been launched.
[11/8/22, 16:44:55:194 CET] 00000001 com.ibm.ws.kernel.launch.internal.FrameworkManager           I CWWKE0002I: The kernel started after 1.028 seconds
[11/8/22, 16:44:55:208 CET] 00000027 com.ibm.ws.kernel.feature.internal.FeatureManager            I CWWKF0007I: Feature update started.
[11/8/22, 16:44:55:385 CET] 0000001c com.ibm.ws.app.manager.internal.monitor.DropinMonitor        A CWWKZ0058I: Monitoring dropins for applications.
[11/8/22, 16:44:56:010 CET] 00000031 com.ibm.ws.app.manager.AppMessageHelper                      I CWWKZ0018I: Starting application LabJakartaEE-1.0-SNAPSHOT.
[11/8/22, 16:44:56:011 CET] 00000031 bm.ws.app.manager.war.internal.WARDeployedAppInfoFactoryImpl I CWWKZ0134I: The LabJakartaEE-1.0-SNAPSHOT application is using the loose application definition at the /Users/janstopinski/projects/jakartaEE/LabJakartaEE/target/liberty/wlp/usr/servers/defaultServer/dropins/LabJakartaEE-1.0-SNAPSHOT.war.xml location.
[11/8/22, 16:44:56:506 CET] 00000031 com.ibm.ws.session.WASSessionCore                            I SESN8501I: The session manager did not find a persistent storage location; HttpSession objects will be stored in the local application server's memory.
[11/8/22, 16:44:56:535 CET] 00000031 org.jboss.weld.Version                                       I WELD-000900: 3.1.9 (Final)
[11/8/22, 16:44:57:297 CET] 00000031 org.jboss.weld.Event                                         I WELD-000411: Observer method [BackedAnnotatedMethod] org.apache.myfaces.config.annotation.CdiAnnotationProviderExtension.processAnnotatedType(@Observes ProcessAnnotatedType<T>) receives events for all annotated types. Consider restricting events using @WithAnnotations or a generic type with bounds.
[11/8/22, 16:44:57:325 CET] 00000031 org.jboss.weld.Event                                         I WELD-000411: Observer method [BackedAnnotatedMethod] org.apache.myfaces.cdi.JsfArtifactProducerExtension.processAnnotatedType(@Observes ProcessAnnotatedType<T>, BeanManager) receives events for all annotated types. Consider restricting events using @WithAnnotations or a generic type with bounds.
[11/8/22, 16:44:57:692 CET] 00000031 com.ibm.ws.webcontainer.osgi.webapp.WebGroup                 I SRVE0169I: Loading Web Module: LabJakartaEE-1.0-SNAPSHOT.
[11/8/22, 16:44:57:695 CET] 00000031 com.ibm.ws.webcontainer                                      I SRVE0250I: Web Module LabJakartaEE-1.0-SNAPSHOT has been bound to default_host.
[11/8/22, 16:44:57:698 CET] 00000031 com.ibm.ws.http.internal.VirtualHostImpl                     A CWWKT0016I: Web application available (default_host): http://localhost:9080/LabJakartaEE-1.0-SNAPSHOT/
[11/8/22, 16:44:57:716 CET] 00000036 com.ibm.ws.session.WASSessionCore                            I SESN0176I: A new session context will be created for application key default_host/LabJakartaEE-1.0-SNAPSHOT
[11/8/22, 16:44:57:724 CET] 00000036 com.ibm.ws.util                                              I SESN0172I: The session manager is using the Java default SecureRandom implementation for session ID generation.
[11/8/22, 16:44:57:734 CET] 00000035 com.ibm.ws.webcontainer.osgi.mbeans.PluginGenerator          I SRVE9103I: A configuration file for a web server plugin was automatically generated for this server at /Users/janstopinski/projects/jakartaEE/LabJakartaEE/target/liberty/wlp/usr/servers/defaultServer/logs/state/plugin-cfg.xml.
[11/8/22, 16:44:57:826 CET] 00000036 org.apache.myfaces.ee.MyFacesContainerInitializer            I Using org.apache.myfaces.ee.MyFacesContainerInitializer
[11/8/22, 16:44:57:968 CET] 00000036 org.apache.myfaces.config.DefaultFacesConfigurationProvider  I Reading standard config META-INF/standard-faces-config.xml
[11/8/22, 16:44:58:151 CET] 00000036 org.apache.myfaces.config.DefaultFacesConfigurationProvider  I Found javax.faces.application.ApplicationFactory factory implementation: com.ibm.ws.jsf.config.WASApplicationFactoryImpl
[11/8/22, 16:44:58:207 CET] 00000036 org.apache.myfaces.spi.impl.DefaultInjectionProviderFactory  I Using InjectionProvider com.ibm.ws.jsf.spi.impl.WASCDIAnnotationDelegateInjectionProvider
[11/8/22, 16:44:58:269 CET] 00000036 org.apache.myfaces.util.ExternalSpecifications               I MyFaces Core CDI support enabled
[11/8/22, 16:44:58:273 CET] 00000036 org.apache.myfaces.util.ExternalSpecifications               I MyFaces Core Bean Validation support disabled
[11/8/22, 16:44:58:368 CET] 00000036 org.apache.myfaces.config.FacesConfigurator                  I Serialization provider : class org.apache.myfaces.shared_impl.util.serial.DefaultSerialFactory
[11/8/22, 16:44:58:424 CET] 00000036 org.apache.myfaces.webapp.AbstractFacesInitializer           I ServletContext initialized.
[11/8/22, 16:44:58:426 CET] 00000036 org.apache.myfaces.webapp.WebConfigParamsLogger              I Tomahawk jar not available. Autoscrolling, DetectJavascript, AddResourceClass and CheckExtensionsFilter are disabled now.
[11/8/22, 16:44:58:426 CET] 00000036 org.apache.myfaces.webapp.WebConfigParamsLogger              I Scanning for context init parameters not defined. It is not necessary to define them all into your web.xml, they are just provided here for informative purposes. To disable this messages set org.apache.myfaces.LOG_WEB_CONTEXT_PARAMS config param to 'false'
[11/8/22, 16:44:58:426 CET] 00000036 org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'javax.faces.RESOURCE_EXCLUDES' found, using default value '.class .jsp .jspx .properties .xhtml .groovy'.
[11/8/22, 16:44:58:426 CET] 00000036 org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'javax.faces.STATE_SAVING_METHOD' found, using default value 'server'.
[11/8/22, 16:44:58:427 CET] 00000036 org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'javax.faces.FULL_STATE_SAVING_VIEW_IDS' found.
[11/8/22, 16:44:58:427 CET] 00000036 org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'javax.faces.PARTIAL_STATE_SAVING' found, using default value 'true (false with 1.2 webapps)'.
[11/8/22, 16:44:58:427 CET] 00000036 org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'javax.faces.SERIALIZE_SERVER_STATE' found, using default value 'false'.
[11/8/22, 16:44:58:427 CET] 00000036 org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'javax.faces.DEFAULT_SUFFIX' found, using default value '.xhtml .view.xml .jsp'.
[11/8/22, 16:44:58:427 CET] 00000036 org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'javax.faces.FACELETS_SUFFIX' found, using default value '.xhtml'.
[11/8/22, 16:44:58:427 CET] 00000036 org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'javax.faces.FACELETS_VIEW_MAPPINGS' found.
[11/8/22, 16:44:58:427 CET] 00000036 org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'javax.faces.DISABLE_FACELET_JSF_VIEWHANDLER' found.
[11/8/22, 16:44:58:427 CET] 00000036 org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'javax.faces.FACELETS_BUFFER_SIZE' found, using default value '1024'.
[11/8/22, 16:44:58:428 CET] 00000036 org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'javax.faces.FACELETS_DECORATORS' found.
[11/8/22, 16:44:58:428 CET] 00000036 org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'javax.faces.FACELETS_LIBRARIES' found.
[11/8/22, 16:44:58:428 CET] 00000036 org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'javax.faces.FACELETS_REFRESH_PERIOD' found, using default value '-1'.
[11/8/22, 16:44:58:428 CET] 00000036 org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'javax.faces.FACELETS_SKIP_COMMENTS' found.
[11/8/22, 16:44:58:428 CET] 00000036 org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'javax.faces.HONOR_CURRENT_COMPONENT_ATTRIBUTES' found, using default value 'false'.
[11/8/22, 16:44:58:428 CET] 00000036 org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'javax.faces.VALIDATE_EMPTY_FIELDS' found, using default value 'auto'.
[11/8/22, 16:44:58:428 CET] 00000036 org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'javax.faces.INTERPRET_EMPTY_STRING_SUBMITTED_VALUES_AS_NULL' found, using default value 'false'.
[11/8/22, 16:44:58:429 CET] 00000036 org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'org.apache.myfaces.CLEAR_INPUT_WHEN_SUBMITTED_VALUE_IS_NULL_OR_EMPTY' found, using default value 'true'.
[11/8/22, 16:44:58:429 CET] 00000036 org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'javax.faces.ALWAYS_PERFORM_VALIDATION_WHEN_REQUIRED_IS_TRUE' found, using default value 'false'.
[11/8/22, 16:44:58:429 CET] 00000036 org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'javax.faces.VIEWROOT_PHASE_LISTENER_QUEUES_EXCEPTIONS' found, using default value 'false'.
[11/8/22, 16:44:58:429 CET] 00000036 org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'javax.faces.DATETIMECONVERTER_DEFAULT_TIMEZONE_IS_SYSTEM_TIMEZONE' found, using default value 'false'.
[11/8/22, 16:44:58:429 CET] 00000036 org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'org.apache.myfaces.ENUM_CONVERTER_ALLOW_STRING_PASSTROUGH' found, using default value 'false'.
